Name,Provider,Description,# enrolled,# ratings
Disaster Preparedness,University of Pittsburgh,"Have you ever viewed a news report depicting the aftermath of a devastating natural disaster? The damage to human life and property are both staggering and heartbreaking. All parts of the world face the possibility of floods, hurricanes, tornados, fires, landslides, earthquakes, tsunamis, and other natural phenomena. Are you prepared if disaster would strike you? This course will help you prepare!

The course is appropriate for any learner who is proactive about developing the core competencies of disaster readiness and survival planning. It is especially useful if you are seeking techniques that can ensure your personal protection, as well as the safety of your family, property, and belongings, during a natural disaster. In addition, it offers essential preparation for a variety of emergency situations and inconveniences, even if you do not live in major tornado, flood, hurricane, tsunami, or earthquake zone. For instance, could you and your loved ones manage without access to potable water, electricity, fuel, and banking facilities? If you are unsure of your ability to respond in any of these possible scenarios, this course is for you!

Throughout the course, you will be introduced to the Disaster Cycle, specifically the Mitigation and Recovery phases, and will create an extensive personal preparedness plan for survival in the absence of common amenities, such as food and water, shelter, and communication. You will also acquire practical, easy-to-apply strategies for maintaining a healthy attitude during disaster which can allow you to remain calm, avoid panic, and draw upon inner and outer resources in dire circumstances. Although death may be an inevitable outcome of extreme circumstances, a balanced outlook can provide comfort for all parties involved. Finally, issues of how institutions and governments can aid in disaster are also discussed.
If you are interested in this topic you may be interested in other online programs at the University of Pittsburgh School of Nursing. Learn more about those programs by visiting our website: http://www.online.pitt.edu/programs/school-of-nursing/","50,441","1,473"
Moving to the Cloud,The University of Melbourne,"Commercial research analysts consider cloud as one of the most significant trends with a potential to change the whole global IT industry.  Governments, including those in the US, Britain, and Australia, have cloud-first policies now in place which mandate cloud over non-cloud services in ICT procurement.  But CIOs and other senior executives, while it's on the majority of their agendas, aren't sure what it really means for their organisations - how to leverage the benefits, control the commercials, manage the business risk, and adapt their organisations.  

While it is important to set requirements, negotiate commercials (terms, service level agreements, and pricing), and sign the contract - it is also critical that we develop a clear plan for ‘Moving to the Cloud’ which realigns our business architecture, organization and most importantly our people.
This course provides the answers that management must know to be successful and realise the benefits:

• Where should I go cloud? 
• What are the commercials?
• Where is my leverage?
• How do I realign my business practices and architecture?
• How do I gear up my people and structure my organisation?

View the MOOC promotional video here: http://tinyurl.com/hvtz2ph","14,458",196
Fundamentos de IA Aplicados ao CRM,Fundação Instituto de Administração,"Neste curso, você aprenderá que, conforme  a nova economia avança, o mercado se torna mais dependente da coleta, estruturação e análise de dados. Por isso, decisões baseadas em dados têm se tornado tão importantes para companhias que querem se tornar rentáveis, com operações mais enxutas e aumentar o retorno financeiro a médio e longo prazos. 

Empresas com CRM orientado por dados vão além de somente analisar número e gerar relatórios padrões. Elas utilizam os dados para tomar decisões precisas e eliminar vieses e suposições, gerando resultados através de análises preditivas e modelos de aprendizado de máquinas para aproveitar as oportunidades com os clientes e reduzir os riscos. 

Ao final deste curso, você será capaz de entender temas como Aprendizado de Máquinas, Aprendizado Profundo (Deep Learning) e Inteligência Artificial.

Este curso é composto por quatro módulos, disponibilizados em semanas de aprendizagem. Cada módulo é composto por vídeos, leituras e testes de verificação de aprendizagem. Ao final de cada módulo, temos uma avaliação de verificação dos conhecimentos.

Estamos muito felizes com sua presença neste curso e esperamos que você tire o máximo de proveito dos conceitos aqui apresentados.

Bons estudos!",0,0
Fundamentals of Project Planning and Management,University of Virginia,"Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execution methodologies can offer ways in which projects can be run more effectively and efficiently. Project management provides organizations (and individuals) with the language and the frameworks for scoping projects, sequencing activities, utilizing resources, and minimizing risks.","270,763","7,782"
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,"Vivimos rodeados de proyectos. Prácticamente todas las organizaciones dirigen proyectos, ya sea de manera formal o informal.Los tenemos en casa y en el trabajo. A través de determinados parámetros, principios de planificación y metodologías de ejecución, los proyectos se pueden gestionar de forma eficiente y efectiva. La gestión de proyectos ofrece a las organizaciones (y las personas) el lenguaje y los marcos para organizar proyectos, programar actividades, utilizar recursos y minimizar riesgos.","37,111",655
Exploratory Data Analysis with MATLAB,MathWorks,"In this course, you will learn to think like a data scientist and ask questions of your data.  You will use interactive features in MATLAB to extract subsets of data and to compute statistics on groups of related data. You will learn to use  MATLAB to automatically generate code so you can learn syntax as you explore.  You will also use interactive documents, called live scripts,  to capture the steps of your analysis, communicate the results, and provide interactive controls allowing others to experiment by selecting groups of data.","34,220",762
Sistemas Operacionais e Você: Tornando-se um Usuário Avançado,Google,"Neste curso – com uma combinação de palestras em vídeo, demonstrações e atividades práticas – você conhecerá os principais componentes de um sistema operacional e verá como executar tarefas críticas, como gerenciamento de software e usuários, e configuração de hardware. Vamos terminar com um exemplo de como esse conteúdo pode acabar surgindo em uma entrevista.

Até o fim deste curso, você conseguirá:
● navegar pelos sistemas de arquivos do Windows e do Linux usando uma interface gráfica do usuário e um interpretador de linha de comando.
● configurar usuários, grupos e permissões de acesso a contas.
● instalar, configurar e remover softwares dos sistemas operacionais Windows e Linux.
● configurar partições de disco e sistemas de arquivos.
● entender como os processos do sistema funcionam e aprender a gerenciá-los.
● trabalhar com registros do sistema e ferramentas de conexão remota.
● utilizar o conhecimento do sistema operacional para solucionar problemas comuns a um especialista em suporte de TI.","5,745",531
Laboratório de Programação Orientada a Objetos - Parte 1,Universidade de São Paulo,"Oferecido pelo Departamento de Ciência da Computação do Instituto de Matemática e Estatística da USP, o curso é voltado para quem já conhece os conceitos básicos de POO e quer se aprofundar no assunto, tornando-se um excelente programador. Ele funciona bem como uma sequência natural aos 2 cursos anteriores do Prof. Fabio Kon do IME-USP no coursera: Introdução à Ciência da Computação com Python. Se você ainda não sabe programar, deve começar por este outro curso: https://www.coursera.org/learn/ciencia-computacao-python-conceitos

Mas, se você já sabe programar em outra linguagem confortavelmente, pode vir direto para este curso sem grandes dificuldades. A maior parte dos exemplos de código serão em Java e Python e apresentamos uma pequena visão geral dessas linguagens no início do curso.

O curso é dividido em duas partes de aproximadamente 6 semanas cada. Nesta Parte 1, os tópicos cobertos são:

(1) Recapitulação dos conceitos básicos de POO

(2) UML (Linguagem Unificada de Modelagem OO)

(3) Linguagens interpretadas vs. compiladas

(4) Orientação a Objetos em Java e em Python

(5) Qualidade de Código e Boas Práticas de Programação OO

(6) Bugs, depuração e testes

(7) Linguagens dinâmicas vs. estáticas

(8) Classes abstratas e interfaces

(9) Coleções de Objetos

(10) Polimorfismo

(11) Tratamento de Exceções

(12) Streams (Fluxos de dados)

(13) Padrões de Projeto (Design Patterns) - Estratégia, Adaptador, Singleton, Método Fábrica, Fábrica Abstrata, Protótipo, Estado

(14) Model-View-Controller (MVC)

Matricule-se! 

Estamos esperando por você!

Fabio Kon e Guilherme Feulo
IME-USP","7,018",102
Negociação e Relações Interculturais,Fundação Instituto de Administração,"Neste curso, você aprenderá que a globalização alterou os paradigmas organizacionais e culturais, tornando a negociação uma das maiores e prestigiadas habilidades humanas para a sobrevivência das organizações. No contexto das alianças estratégicas, fusões, incorporações, novos modelos de gestão, preocupações éticas, com o meio ambiente e responsabilidade social, o conhecimento de ferramentas e conceitos que gerem o equilíbrio entre necessidades e interesses envolvendo diferentes posições e culturas de negociadores se tornou um importante vetor de estudo das relações interpessoais e resolução de conflitos.

Ao final deste curso, você será capaz de identificar as características que definem as negociações e considerar as questões éticas nas atividades do negociador. Irá compreender os resultados esperados dos processos de negociação, e poderá aplicar as etapas necessárias para o planejamento de resolução de conflitos, e posicionamento de interesses comerciais e pessoais.

Este curso é composto por quatro módulos, disponibilizados em semanas de aprendizagem. Cada módulo é composto por vídeos, leituras e testes de verificação de aprendizagem. Ao final de cada módulo, temos uma avaliação de verificação dos conhecimentos.

Estamos muito felizes com sua presença neste curso e esperamos que você tire o máximo de proveito dos conceitos aqui apresentados.

Bons estudos!",0,0
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,"HI-FIVE (Health Informatics For Innovation, Value & Enrichment) Training is an approximately 10-hour online course designed by Columbia University in 2016, with sponsorship from the Office of the National Coordinator for Health Information Technology (ONC).  The training is role-based and uses case scenarios.   No additional hardware or software are required for this course.

Our nation’s healthcare system is changing at a rapid pace. Transformative health care delivery programs depend heavily on health information technology to improve and coordinate care, maintain patient registries, support patient engagement, develop and sustain data infrastructure necessary for multi-payer value-based payment, and enable analytical capacities to inform decision making and streamline reporting.  The accelerated pace of change from new and expanding technology will continue to be a challenge for preparing a skilled workforce so taking this training will help you to stay current in the dynamic landscape of health care.

This course is one of three related courses in the HI-FIVE training program, which has topics on population health, care coordination and interoperability, value-based care, healthcare data analytics, and patient-centered care.  Each of the three courses is designed from a different perspective based on various healthcare roles.  This second course is from a social or peer perspective, geared towards care coordinators, care/case managers, social workers, community health workers, patient navigators, peer coaches, behavioral health support, and other similar roles.  However, we encourage anyone working in healthcare, health IT, public health, and population health to participate in any of the three trainings.","2,891",26
