Name,Provider,Description,# enrolled,# ratings
Bugs 101: Insect-Human Interactions,University of Alberta,"Of all the animals on earth, which are the strongest for their size? What about the fastest? Who were the first animals to evolve flight? Insects take all of these titles and more! As the most abundant animals on the planet, insects and other arthropods affect our lives in so many ways. From beneficial interactions like pollination and biological pest control, to the transmission of life threatening diseases; this course will teach you about the big ways that these little arthropods impact our lives. ","37,937","1,205"
Sex from Molecules to Elephants,Hebrew University of Jerusalem,"Skip About this course
Sexual reproduction can be defined as the sort of reproduction by which each organism arises from the fusion of two cells. This generally implies, with some exceptions, that each organism has two parents.

This description might sound trivial it is however not at all. Before the appearance of sex, organisms reproduced solely by division. One cell divided into two cells, no partners, no fusion, just simple cell division. This simple cell division is still here. In fact, the trillions of cells that make up your body are all the descendants of a single cell that underwent several dozens of cell divisions. Surprisingly, most multicellular, as well as, many unicellular organisms reproduce by sex. We might take it thus for granted but this course will show you that it is a rather peculiar and enigmatic process.

This course will provide you with the necessary tools to understand how sex works and to marvel at its mysteries. We will start by meeting the actors of this greatest drama in their native habitats, from ancient bacteria that live in thermal geysers in Yellowstone national park to the great mammals that roam the African savanna. We will also briefly discuss the history of life on earth and its contemporary state.

The second unit defines the rules of the game explaining the mechanisms of heredity and evolution.

The third unit focuses on meiosis, the fundamental and conserved molecular event that forms the basis of sex. And that might have led to the appearance of sex in the first place. We will also explain the fertility cycle and male and female germ cell development. The fourth unit describes the striking variability of sex determination throughout the animal kingdom. We will discuss the requirement for two genders and their considerable cost. Finally, we will dive in the gulf of Aqaba to meet organisms that are both male and female either at the same, or at different times.

Sex requires cooperation between two individuals – a male and a female – that are in a basic conflict of interest. Furthermore, males and females compete among themselves. This complex network of cooperation and conflict forms the fascinating plot we will tell in the fifth unit that will discuss the patterns of reproduction and social behavior of different animals – corals, insects, spiders, fish, birds, and mammals. We will be intrigued to discover that the same basic conflict is resolved by a huge range of approaches, from altruistic behavior all the way to open warfare and infanticide.

The sixth unit takes us to fertilization and beyond. Starting at an IVF clinic we follow embryonic development throughout the animal kingdom from insects to tadpoles and humans.

The seventh unit is dedicated to flowering plants that made our world colorful, sweet-smelling and tasty and that produce almost all animal food.",0,0
Equine Welfare and Management,"University of California, Davis","This unique course was developed by veterinarians at the world-renowned University of California, Davis School of Veterinary Medicine. The course will address horsemanship from a welfare perspective, within the context of “The Five Freedoms” of animal welfare. We’ll explore equine physiology, behavior and basic needs including housing, nutrition, hygiene and disease management. You’ll learn how to perform basic tasks to assess the overall condition of the horse and identify problem areas. We’ll also examine the specialized needs of the equine athlete and the major responsibilities we as owners, handlers or competitors must assume in order to ensure the health and welfare of our equine companions. Finally, we’ll look several special topics in equine welfare including disaster planning and the international welfare efforts now in place to protect working horses and other equids in key industries such as racing, international competition, tourism and even mining. By the conclusion of the course, you will be well equipped to develop a comprehensive welfare plan for any horses in your care.","18,376",310
Understanding Plants - Part II: Fundamentals of Plant Biology,Tel Aviv University,"This class is aimed at people interested in understanding the basic science of plant biology. In this four lecture series, we'll first learn about the structure-function of plants and of plant cells. Then we'll try to understand how plants grow and develop, making such complex structures as flowers. Once we know how plants grow and develop, we'll then delve into understanding photosynthesis - how plants take carbon dioxide from the air and water from soil, and turn this into oxygen for us to breathe","39,644","1,077"
"Animals, Self, and Society",University of Colorado Boulder,"This course explores how animals and people are situated within the web of structures and connections known as “society.” Module 1 considers some of the key symbolic roles that animals play in society by investigating the practice of “thinking with animals.” We investigate how people construct different meanings of animals and the implications these meanings have for both animals and humans. You will gain first-hand experience of this by analyzing how animals are represented in the media. Modules 2 and 3 investigate human-animal relationships, including those that involve suffering as well as those that are beneficial. Although many people describe their pets as friends or family members, Module 2 takes a deeper dive into what constitutes friendship and family membership where other species are concerned. Module 3 examines the dark side of these relationships, focusing on animal abuse and its relationship to domestic violence. Module 4 focuses on people’s encounters with those animals outside the boundaries of the home and the farm. The way people understand and regard the species commonly considered “wild” shapes the treatment and moral status of these animals.","3,894",87
"Origins - Formation of the Universe, Solar System, Earth and Life",University of Copenhagen,The Origins course tracks the origin of all things – from the Big Bang to the origin of the Solar System and the Earth. The course follows the evolution of life on our planet through deep geological time to present life forms.,"32,427",609
"Extinctions: Past, Present, & Future",Emory University,"This course introduces you to the five mass extinctions of the pre-human past, their causes and significance to the history of life on earth, and the current mass extinction happening during our time. We’ll also explore the history of paleontology and geological study and review the key players that influenced the science today.","7,711",97
Unravelling solutions for Future Food problems,Utrecht University,"Our society depends on the availability of food and accessibility to it. According to the United Nations nearly 800 million people are hungry and on the other hand, over 650 million people are obese.  While many people in developing countries experience food shortage, in industrialized countries people are throwing food away.

These facts show how paradoxical and complex the world’s food problem is.  
 
ln this course, more than 10 food researchers from Utrecht University will address the main issues of food consumption. They will handle two interrelated themes; Food shortage and Healthy choices. You will learn to identify the key ingredients of the world’s food challenges and to think about the solutions for enabling changes in the current food system.

We will also look at the possible sustainable solutions for several accut issues: the demands of the growing human population, the role of nutrition, and the need to understand food choices in order to have healthier diet and consider the possibilities of alternative foods.

We invite you to join us on an interdisciplinary journey through the world food problems. You will gain new knowledge and insights that will help you form your own opinion on these subjects and make better choices in your food consumption. 
We hope you will enjoy the course!

The Future Food Team","14,111",135
Women in environmental biology,Universitat Autònoma de Barcelona,"Have you ever wondered how humans relate to other living beings and what do you need to know to be able to understand current environmental problems? Do you know that many of these researches and knowledge have been described by women?

This course gives answers to these questions and it is addressed to anyone interested in the relationship between humans and other living beings, as well as all those concerned about the global change situation that the planet is suffering.

We will learn key concepts of environmental biology, what does the word biodiversity mean, what are the main types of living organisms that exist on the Earth and the importance of these for human beings. We will also learn that the gender perspective plays a key role in how we understand the world and in how science, and in particular, environmental biology, progress.

What is this course useful for? In the current context of global change of the planet, sustainability is a key and transversal concept in many aspects of our life: education, politics, legislation, etc ... Knowing to appreciate the importance of our relationship with the natural environment will facilitate to work on issues related to sustainability with a solid knowledge based on evidence.

On the other hand, there is growing evidence that the gender perspective is a key element in the transformation of many environmental problems on the planet. This course has been designed and developed by a team of women researchers applying the gender perspective in the content and structure of the course. In addition, with this course you will discover many other women who, throughout history, have made key contributions to environmental biology and that will surely allow you to start stretching the thread to know more of them.","6,250",110
The Technology of Music Production,Berklee College of Music,"With the recent introduction of high-quality-low-cost software and hardware, the tools of music production are now available to the masses. Albums are made in bedrooms as well as studios. On the surface this is liberating. Anyone can make an album for the low cost of a couple pieces of gear and a software package. But, if you dig deeper, you will find that it is not so easy. Producing music requires knowledge, dedication, and creativity.
    
Knowledge is where this course comes in. No matter what kind of music you are making, there is a large set of tools that you will need to use.  Each lesson of this course will demonstrate a different set of music production tools, loosely following along the music production process of recording, editing, and mixing. 

We will start with some background on the nature of sound and how we perceive it. We will then examine the components necessary to record audio into a computer, so that you understand the devices that sound must travel through in a music production process. 
    
Once recorded, sound must be organized along a timeline, a process known as editing. It allows us to give the impression of perfect performances and create many of the sounds we hear in contemporary music. The contemporary editing tool is the Digital Audio Workstation (DAW),  a piece of software that stores and organizes all the assets of a musical project. We will focus on the editing tools that are essential in contemporary music production and that all DAWs provide. 

After editing, sounds must be combined or mixed together, so we look to the mixing board—a very creative place if you know how to use it. We will explore the basic functionality of both hardware and software mixing boards, including volume, pan, mute, solo, busses, inserts, sends, and submixes. The mixing process, however, includes more tools than the mixing board provides on its own. Sound must also be processed, modified from its recorded state to fit the context of the music. We will look at compression, equalization, and delay, and examine the many audio effects that are offshoots of these devices and how they are used in a musical context.
    
In the end, the music production process relies on your creativity. Creativity is a product of the mind and will stay there, unexpressed, until the right tools are used in the right way to share it with the world. If you have an idea in your head, it will take numerous steps, each with an important tool, to reach your audience. You bring the dedication and creativity, and this course will bring you the knowledge to make that happen.","56,657",962
